cleaned_comment,vaccine_view,about_doctor_mike,format_criticism,misinformation,emotion_personal_experience,sentiment,toxicity_level
the fact checks on the red haired girl where brutal every sentence she uttered and a fact check appears,,,,,,strongly_negative,non-toxic
instead of abruptly ending the conversation whenever majority of the flags are raised they should atleast let them finish or let the other person have one complete exchange this whole video went by with dr mike without being able to complete most of his responses,,neutral,yes,,,positive,mildly-toxic
its fairly obvious that he means that what is accepted as a fact can change over time which is true,,,,,,positive,non-toxic
the lots shown by the embalmers in the movie seem to medical experts to be no different than the lots that commonly occur in life and also after death,,,,,,negative,non-toxic
babies do not need a 70 vaccines schedule or more no vaccine has been tested to be fully effective or safe read the inserts and disclaimers weigh the risk vs benefit and in most cases the risks are much higher,pro-vaccine,,,,,positive,non-toxic
the lady in green rolling her eyes and grasping is pm girl youre a youtube,,,,,,negative,non-toxic
every point the doctor made others were like nah i dont like it,,,,,,neutral,non-toxic
did the girl said my friend got tumour and saved by eating organic food,,,,,yes,neutral,mildly-toxic
thank you for the fact check i dont think i would have watched without it,,,,,,neutral,non-toxic
20 delusional people vs 1 normal person,,,,,,positive,non-toxic
unfortunately as long as pharma has customers nothing will change,,,,,,negative,non-toxic
featuring some of the same barrelbottom scraping from same episode likes,,,,,,neutral,non-toxic
hey devon stupidity has a patent also,,,,,,strongly_negative,non-toxic
this whole video feels like a political stunt and the goal is to make antvaxxers look crazy grab a few random people from the street with very little to no education on vaccines and pit them against an educated doctor yeah its not going to be a fair debate or a debate where both sides can at least learn something from each other,skeptic,,yes,,yes,negative,mildly-toxic
that lady in the blue reacting pm,,,,,,neutral,non-toxic
this dr is full of it and these people do not represent us these are not our arguments smh,,,,,,positive,non-toxic
the fact that ppl thinks vaccine are a problem is mindblowing they are low iq ppl,skeptic,,,,,neutral,mildly-toxic
so not a scientist also why did they stop the mandate oh hes a plant ,,,,,,neutral,non-toxic
dr mike may be the most respectful patient and wholesome person i have seen on one of these episodes he could have really got upset mocked and obliterated the ideas of some of these folks however he did not he showed real empathy and restraint with how ridiculous and illogical many of these opponent are and i find that respectable,,positive,,,,positive,non-toxic
there probably should be some very limited screening before these debates i mean if there are people here trying to argue that the earth is flat maybe it is not a very effective use of these opportunities,,,yes,,,negative,mildly-toxic
dr mike is just not a great debate sorry too kind to the conservatives could have fact checked them more often interrupted all those classic debate tactics,,positive,yes,,yes,positive,mildly-toxic
thats why usa is doomed,,,,,,neutral,non-toxic
4045 this is what social media has wrought on mankind,,,,,,positive,non-toxic
dr mike is bald and backed thats not him ,,neutral,,,,neutral,non-toxic
top knot and blue sweater guy lets see some new faces,,,,,,positive,non-toxic
the sha mandate was stopped by the courts as they rule the mandate overstepped  the bounds not due to safety or efficacy concerns the federal employee mandate was ended when the public health emergency declaration expired in 2023 not due to safety or efficacy concerns,,,,,,positive,non-toxic
i do think he should have mentioned that fascinated people died far less frequently than the unvaccinated he needed to delineated prevaccine availability vs postvaccine availability a little more and talked more about variants when they questioned why the vaccine didnt stop infections,skeptic,,,,,positive,mildly-toxic
that third person is needs to chill polio doesnt care about your anh,,,,,,neutral,non-toxic
100 the guy with the bible shirt did not read the bible completely,,,,,,positive,non-toxic
i would donate money to an organization that would send the nature guy out to a remote island to live for a long period of time,,,,,,negative,non-toxic
dumbass that made the argument that an expert is elected is a true dumbass,,,,,,positive,non-toxic
i think the consistent exchange of respect was golden not enough debates carry like a conversation the first two opponents carried themselves well and that warms my soul,,,yes,,,positive,mildly-toxic
i am concern why this is even a debate,,,yes,,,neutral,mildly-toxic
i just feel bad for these people theyre so clearly scared and misguided,,,,,yes,negative,mildly-toxic
the indigenous guy forgets his people ate each other,,,,,,negative,non-toxic
why is everyone just venting im dead,,,,,,negative,non-toxic
you dont hear many stories of the unvaccinated that went wrong because they are dead,,,,,,negative,non-toxic
hypocrisy remember that one time this dr mike guy got caught partying and not wearing a mask during the pandemic after he himself posted like numerous videos on the importance of self quarantine and isolation to prevent the spread,,neutral,,,,neutral,non-toxic
incredible dr mike thank you ,,neutral,,,,positive,non-toxic
if youre going into a debate with the mindset that youre not going to listen to what the other party has to say then you shouldnt be at that debate if you know your mind will not be changed no matter what then theres nothing worthwhile that can come from debating   debating is arguing with the intent to learn its not arguing for the sake of arguing,,,yes,,,positive,mildly-toxic
this doctor has a ton of empathy and patience we all have a tendency to extrapolate general rules from personal experience and the population in general doesnt understand probability and statistics very well,,,,,,positive,non-toxic
that pulmonologist is saying everything i wanna say,,,,,,neutral,non-toxic
theres no absolute truth period he says absolutely,,,,,,positive,non-toxic
im gonna be honest im not a fan of vaccines and never will be but i gotta say that this doctor is a class act he was kind patient and respectful to these opposers i know everybody has different experiences when it comes to vaccines but these people give anti vaxxers a bad name and look they sounded crazy and ignorant imo,skeptic,,,,yes,positive,mildly-toxic
600000 deaths to the prize 19 shot btw,,,,yes,,neutral,highly-toxic
doctors that have 11 million in value at the age of 80 while constantly working does not seem so strange to me at least not in the us system,,,yes,,,negative,mildly-toxic
she just said hiv doesnt cause aids and then went on to show exactly exactly why hiv causes aids likes,,,,yes,,positive,highly-toxic
you sure it wasnt  6000000 deaths ,,,,,,positive,non-toxic
cite a source any source,,,,,,neutral,non-toxic
i lost braincells from watching this poor drive,,,,,yes,strongly_negative,mildly-toxic
lol this is clearly a video to push propaganda the people they chose are clearly not displaying critical thinkers the real critical thinkers would bring up section 13 of the vaccine inserts for all of the vaccines on the cdc schedule end of story,skeptic,,,,,positive,mildly-toxic
does this doctor understand nutrition  most doctors go to school for up to 7 yrs  they get 2 hours on nutrition and 2 hours on vaccination and 65 years on drugs names of diseases  ridiculous  the human body is organic not a synthetic machine,skeptic,,,,,positive,mildly-toxic
why cant we just decide ourselves  maybe that is the root of this whole thing why do we not get control over our own bodies,,,,,,positive,non-toxic
ive tried watching a couple of these just seems to be a forum for whackjobs to spec stuff that is crazy and then they dont get to be fully debunked or their facts challenged,,,,,yes,strongly_negative,mildly-toxic
the guy that wear the yellow tie i give him the best question he ask,,,,,,positive,non-toxic
my question is why they give such a type of doctor to talk about such they should have an vaccine expert to talk about this hes trying to sound like like a person who were told to tell certain things,skeptic,,,,,positive,mildly-toxic
this doctor is a joke,,,,,,neutral,non-toxic
suddenly had heart attack suddenly healthy athletes after the van had heart attacks suddenly dies,,,,,,positive,non-toxic
id who rfk jr is but im going to project myself onto him and then white that youre bullying me when you criticise him,,,,,,neutral,non-toxic
they should brought in dr house,,,,,,neutral,non-toxic
freedom is more important than security whatsoever the end,,,,,,positive,non-toxic
you need to know when to stop somebody and deal with one claim at a time all these people are coming up just to have a soapbox and recite their 10 minute speech that they practiced you cant possibly deal with everything they say before theyre voted out after they make one point stop them before they move on to the next thing and deal with that one point,,,yes,,,neutral,mildly-toxic
guys were shaking their head like they are doctors themselves,,,,,,neutral,non-toxic
5405 the pretty one was the craziest damn,,,,,,positive,non-toxic
11230 i chose to feel like the villain and thats exactly the problem you are making yourself a victim for no reason,,,,,yes,positive,mildly-toxic
dang,,,,,,neutral,non-toxic
5020 viral 5 fingers yo best shoe ever,,,,,,positive,non-toxic
off the amount of fallacies we find the first minute of every skeptic is amazing but this format is a disaster the dr could not speak for 2 seconds before he was cut off horrible debate,,,yes,,,negative,mildly-toxic
this was a hard watch as it felt that almost every person did not stay on topic and mostly vented about their personal beliefs without letting dr mike speak,,negative,,,,positive,mildly-toxic
exactly i commented something similar these are pretty much random people they picked off the street who arent educated  now if the title of this video was anti van doctors vs pro vaccine doctors  now that would be a debate worth watching   but of course youtube and the powers that be would never allow that to happen ,skeptic,,yes,,,positive,mildly-toxic
what would bringing that up prove be specific,,,,,,neutral,non-toxic
are you a medical student because as a medical student this isnt how we spend learning lol anatomy physiology biochemistry pharmacology microbiology and the list goes on its a shame to see people like you to just simplify it without having any medical knowledge,,,,,,positive,non-toxic
to say we spend 7 years just to learn name of drugs is very ignorant and a shallow opinion,,,,,,negative,non-toxic
you can no one has been imprisoned for not taking the vaccine you always had the choice if the vaccine was mandated for your job you could choose to leave your job theres your choice if your child isnt fascinated you can send them to a private school that doesnt demand vaccination or home school your choice stop lying that you didnt have a choice you always do im sorry you dont like that choice but its there,skeptic,,,,yes,negative,mildly-toxic
thats what they tell you or him to say,,,,,,neutral,non-toxic
you have freedom no one forced you to be fascinated you always had a choice always,,,,,,strongly_negative,non-toxic
 desdakon986 if you got to travel it was en obligation and i got to travel like a lot your en employed probably so where do you see none obligation with part you don t crossed  freedom is more important then your security are you this brainwashed  if your afraid of your own shadows keep it for yourself,,,,,,positive,non-toxic
 desdakon986 you must be a simple employee to talk like this keep your security i will keep my freedom such my freedom i will such your security how would you like it coward,,,,,,neutral,non-toxic
 pascal6014  there was never a federal requirement to be fascinated for domestic air travel period what else ya got,,,,,,neutral,non-toxic
desdakon986  i am canadian yes we got it verified it your not alone on the globe i come from the grey zone on the map at the usa theater channel you know like mexico lol,,,,,,positive,non-toxic
not saying its not true because it is but also this is literally how every single 20 v 1 goes ,,,,,,negative,non-toxic
doctor mike did an incredible job dealing with insufferable people who get all their research from the internet,,neutral,,,,positive,non-toxic
forcing ppl into a corner and saying they still had a choice just enough to avoid legal persecution has to be the most hypocritical thing this government has ever done,,,,,,positive,non-toxic
if you are sitting in a circle and the lady saying hiv does not cause aids is grouped as being the same as courts time to rethink your stancechoices,,,,,,neutral,non-toxic
i think vaccines are awesome because 99 of polio has been eradicated,pro-vaccine,,,,,positive,non-toxic
half of them are actually skeptical of capitalism but they dont know ,,,,,,strongly_negative,non-toxic
it seemed that the voting to end the discussion accelerated when doctor mike was about to finalize his excellent points,,neutral,,,,positive,non-toxic
i just knew the guy in the flower jacket would be an incoherent warbler but pretty much all of them used up all the time gathering,,,,,,positive,non-toxic
this is the same doc along with cnn that tried to smear joe organ for taking ivermectin  which is not a horse medication  dont trust him,,,,,,neutral,non-toxic
the doctor is so condescending,,,,,,neutral,non-toxic
sorry but many doctors are at odds with others in their professions over many studies we have to remember a doctor is not a scientist and only study and research the information that is already published they could be lead astray it doesnt mean they look at the vaccines under a microscope and know exactly what molecules are used,skeptic,,yes,,yes,positive,mildly-toxic
equating dr face with modern making money from the vaccine is more ignorance dr face worked for the nih not modern he didnt  make any of that money facts matter,pro-vaccine,,,,,positive,non-toxic
ignorance debating science amazing me at how much the education system failed those 20 and how little they learned anything on their owned,,,yes,,,positive,mildly-toxic
all need to find some antivaxxers that does listen that doesnt cut off the other one and an anti vaxxer that doesnt show attitude and runs their mouths off from their trust me bro sources,skeptic,,,,,negative,mildly-toxic
we have mandatory seat belts which dramatically reduced deaths i knew of an anti seatbelter claiming he knew someone who flew thru windscreen in a crash and survived,,,,,,neutral,non-toxic
i dont understand the concept of the yellow flags ive read other comments and as far as i know they are just meant to vote the person talking to dr mike out which is flawed by default if the point is they all want to prove their point as quickly as possible so i want to know if there is a reason for having the flags in the first place if there is more to it or its just flawed,,neutral,yes,,,negative,mildly-toxic
they actually dont want to listen to the doctor they speak all the time and then when he tries to give a response they vote to change the topic,,,yes,,,negative,mildly-toxic
we really need a vaccine for delusions,skeptic,,,,,positive,mildly-toxic
the audacity of one of those woman to be mapping about being natural when shes wearing fast fashion and face full of synthetic makeup and has breached hair dyed with red hair dye ,,,,,,positive,non-toxic
love this guy so polite even when talking to crazy people,,,,,yes,negative,mildly-toxic
how about having two doctors with opposing views on vaccines debate also have a doctor who is vaccine hesitant debate people who are pro vaccine,skeptic,,yes,,,neutral,mildly-toxic
not all vaccines are equal lol,skeptic,,,,,positive,mildly-toxic
how does an antiparasitic stop a respiratory disease walk me through the science because every single widescore study has show ivermectin has no clinical benefit,,,,,,negative,non-toxic
dmy did we watch the same video the doctor had incredible amount of patience unlike some of the other participants,,,,,,positive,non-toxic
the reality is that most anti vaxxers are not all there mentally,skeptic,,,,,positive,mildly-toxic
vs 20 idiots,,,,,,strongly_negative,non-toxic
never realized how massive of a person mike is until now ,,neutral,,,,neutral,non-toxic
eat processed food and then blame doctors when the internet says its their fault usa when common sense is best,,,,,,positive,non-toxic
how does he put up with these idiots,,,,,,strongly_negative,non-toxic
doc mike much love,,neutral,,,,positive,non-toxic
found out from another video from a girl whose brother went to school with red hair that she was actually in the midst of an addiction during her third pregnancy it looks like red hair just wants to blame vaccines because she cant face what shes done to her own child absolutely horrible,skeptic,,,,,negative,mildly-toxic
the people complaining about being close to nature would go to visit countriesplaces on holidays in aircraft that burn 4 litres of fuel per second oh yes but the vaccine is something thats not close to nature hypocrites,skeptic,,,,,neutral,mildly-toxic
2610 this woman that i saw she looked like not such a smart one if i say so myself,,,,,,positive,non-toxic
why do you think we pulled out of the who probably because its not unbiased and it became corrupt,,,,,,strongly_negative,non-toxic
312 admittance end of debate,,,yes,,,neutral,mildly-toxic
hes a still for big pharma most of the comments are from vaxxers with low iq before and after their shots,skeptic,,,,,positive,mildly-toxic
hear me out how about a system where the speaker can only be voted out when theyre speaking red flags do not count when the doctors speaking and it can only be used to vote out the speaker from the 20s i believe id be a significant improvement,,,yes,,,positive,mildly-toxic
what the doctor says may come from the kindness of his heart and humanity but unfortunately there are many bad people who are in power and are able to negatively affect the health of citizens at the expense of their own interests the essential point i want to point out is that there should be no compulsion as long as both parties have arguments,,,,,,positive,non-toxic
cant believe theres someone who works in healthcare who is an antivaxxer,pro-vaccine,,,,,neutral,non-toxic
me vs 20 latina buddies next,,,,,,neutral,non-toxic
i think you need to start looking into holistic medicines said the do the doctors that focus on holistic medicinelmao,,,,,,neutral,non-toxic
sorry but these idiots shouldnt have kids lol,,,,,yes,negative,mildly-toxic
youre not a real doctor youre a clown youre very politicalyouve always been political and until you own your own practiceyour opinion doesnt matter,,,,,,positive,non-toxic
hiv does not cause aids would be my 13th reason if i were dr mike,,neutral,,,,neutral,non-toxic
do you know what he said after that statement,,,,,,neutral,non-toxic
100,,,,,,neutral,non-toxic
low iq ok mr megamind whats your latest invention,,,,,,positive,non-toxic
oh theres plenty of people like that unfortunately i also know a nurse who doesnt take any medicine at all she even refuses anesthesia at the dentist but then gets absolutely hammered and smoke like a chimney on weekends cognitive dissonance,,,,,,negative,non-toxic
all 20 immediately raise their red flags until you leave,,,yes,,,neutral,mildly-toxic
neither should somebody with the user name you chose youre very immature,,,,,,positive,non-toxic
 billmarshall268 cry about it,,,,,,neutral,non-toxic
 420mary69  and cry about our kids,,,,,,neutral,non-toxic
which political statements has he made in this video,,,,,,neutral,non-toxic
 spoken like a delusional anti vaxxer,skeptic,,,,,neutral,mildly-toxic
i applaud doctor makes patience and compassion with these grossly misguided people who all unequivocally fall on the first peak of the running krueger curve,,,,,,positive,non-toxic
the lady in the blue shirt behind dr mike gets on my nerves she rolls her eyes and shakes her head and acts the complete opposite in front of dr mike dont hide behind him girl be polite all the way or choose to be the disrespectful person you are when he isnt looking at you,,positive,,,,negative,non-toxic
im just gonna say it since the doc is too respectful  some real colonies in the group  green dress pretty much tried giving a sermon on the chair  red headed lady obviously went way too down the rabbit hole searching for answers for her child medical condition and found just about every conspiracy in the conspiracy book,,,,yes,,positive,highly-toxic
i am offended that youtube put this message about vaccines at the top of this video,skeptic,,,,,positive,mildly-toxic
notice that the other antivaxxers  keep voting the currently speaking antivaxxer out so fast that the doctor barely gets to answer this is because they dont want to hear facts as well as when they hear their own ideas from someone else even they realize  how insane they are,skeptic,,,,yes,negative,mildly-toxic
as for the seat belt argument cars should be banned because they are proven not to be safe so i wont protest seat belts but the use of the automobile,,,,,,positive,non-toxic
i feel bad for doctor mike he is just talking to brick walls,,neutral,,,yes,strongly_negative,mildly-toxic
watching dr mike calmly hold the line against strong emotions while still delivering sciencebacked facts is a true masterclass in communication we believe that health information should always be delivered with empathy and logic  not ego or shouting much respect to dr mike for staying composed and focused even when others weren ready to listen this is the kind of approach that inspired us to create content at global health hack too ,,positive,yes,,,positive,mildly-toxic
ive had chickenpox a decade after taking the vaccine im not an antivaxxer myself to say that id protest but i kinda just let my body work the way it can rather than depending on drugs one mans meat is another mans poison meaning what works well for someone wouldnt work for someone else especially if that person has an intolerance allergic reaction or circulatory incompatibility with a specific drug or drug combination,pro-vaccine,,,,,neutral,non-toxic
i love this guy with the reads,,,,,,positive,non-toxic
people are thinking hiv doesnt cause aids were in a simulation mike is unbelievable patient,,positive,,yes,,negative,highly-toxic
it is both fun and painful to listen illogical arguments,,,,,yes,negative,mildly-toxic
i cant watch too many idiots esp the bible bases ,,,,,,negative,non-toxic
i could not be in that room i dont have near enough patience as dr mike,,neutral,,,,positive,non-toxic
mike debates more respectfully than actual professional debates you think professionals would have more professionalism i always hated it when they ruin the debate list that dr mike is how its done,,positive,yes,,,positive,mildly-toxic
1980s by 2025 well be taking our children to get fascinated in flying cars 2025 our children wont get fascinated because till turn them into flying cars,,,,,,neutral,non-toxic
i think this is a wholesome conversation compare to other debates from this channel ,,,yes,,,negative,mildly-toxic
anti vaxxers are the worst,skeptic,,,,,strongly_negative,mildly-toxic
telling a doctor hiv doesnt cause aids  i need that confidence,,,,yes,,neutral,highly-toxic
they are asking 27 questions claiming so many things its impossible to answer they should just have 1 specific question,,,,,,negative,non-toxic
may i ask why,,,,,,neutral,non-toxic
well clearly they picked people that couldnt debate on purpose,,,yes,,,positive,mildly-toxic
 billmarshall268  your comment is giving me big true communism has never been tried vibes,,,,,,positive,non-toxic
 meeesterbond17 that makes no sense whatsoever forcing people to take shots is part of communism,,,,,,neutral,non-toxic
meeesterbond17 that makes no sense if they wanted a fair debate why didnt they pick medical professionals that are against it,,,yes,,,positive,mildly-toxic
 billmarshall268  they did theres a qualified nurse there or was that still not true communism a true medical professional,,,,,,positive,non-toxic
meeesterbond17 they absolutely are my wife has been in the medical field for almost twentyfive years there are many people in the medical field that do not support the shots this guy is a joke has no real experience he is politically driven jubilee usually does very fair debates from what ive seen but this one was not,,,yes,,,positive,mildly-toxic
as a republican who has been a lifelong christian if you arent getting vaccines for your children that is just insane,skeptic,,,,yes,strongly_negative,mildly-toxic
sounds like they just wanted to trauma dump,,,,,,neutral,non-toxic
im anthrax if you think vaccines work well youre wrong and i wish you the best people forget about our technological advances and a progress in hygiene but be sure to dope up on your yearly flush,pro-vaccine,,,,,positive,non-toxic
im on the spectrum rfk junior thinks im a disease frf,,,,,,neutral,non-toxic
2248 i love her sideeye she had enough of the yappster,,,,,,positive,non-toxic
many of these people are suffering from dunningkruger syndrome they think they are smarter than they are but theyre actually idiots,,,,,,negative,non-toxic
has anyone sitting behind the sitting person ever got to the chair ridiculous format,,,yes,,,strongly_negative,mildly-toxic
3508 note,,,,,,neutral,non-toxic
christ  these people are more fin nuts than flat partners and ufo brothers combined,,,,,,positive,non-toxic
vaccination are not critical  most of them most of the time i dont care which doctor thinks they wanna say otherwise thats just misinformation and its not okay,skeptic,,yes,,,positive,mildly-toxic
josh the irony of an ostheopath talking about evidence america america where have you gone ,,,,,,neutral,non-toxic
talk about a tough room i think the real issue here is actually a misunderstanding of statistical averages single edge cases are not how you determine the needs of a society,,,,,,negative,non-toxic
this entire video is literally  giving smart people smarter answers,,,,,,positive,non-toxic
next you should find healthcare providers that are skeptic of vaccines they 100 exist md np rn rts etc etc i wonder how those conversations would go,skeptic,,,,,neutral,mildly-toxic
the fact that the same people rush to the chair to begin grandstanding tells you so much a video that says more about the state of us society and mental health than vaccines,skeptic,,,,,positive,mildly-toxic
this doctor is a angel,,,,,,neutral,non-toxic
hhh no cannot watch this this doctor is such a joke rather listen to mc cullogh baked etc than to this dunningkrugerguy,,,,,,neutral,non-toxic
it was a strategic choice to not invite any actual educated and experienced voice within this debate  and instead collect a bunch of relative random to muddy waters and perpetuate the stigmatization against anyone who questions vaccines this was a setup jubilee does this often throughout most of their episodes ,skeptic,,yes,,,positive,mildly-toxic
do you wear a seat belt  sometimes  hmm,,,,,,neutral,non-toxic
what book did dr mike recommend reading,,neutral,,,,neutral,non-toxic
a claim is nothing without reasoning,,,,,,neutral,non-toxic
 theinformedtoast3377 i dont want the ingredients that are found in vaccines in my body how is that for reasoning,skeptic,,,,,neutral,mildly-toxic
 jaycubnum33r did you not listen to what mike said to your concerns,,neutral,,,,neutral,non-toxic
 jaycubnum33r  most of what is in a vaccine you find in a banana your opinion is baseless and your claim is wrong,skeptic,,,,,neutral,mildly-toxic
you saying youre wrong without any reasoning shows me how ignorant and informed you are about vaccines,skeptic,,,,,strongly_negative,mildly-toxic
no hes not,,,,,,neutral,non-toxic
bro what,,,,,,neutral,non-toxic
proof that vaccines work is having no more polio no more smallpox and we can go down the list we are beginning to see these diseases again because of all the anthrax and people coming to the country that arent axed and to say hiv doesnt cause  aids is mind blowing,pro-vaccine,,,,,negative,non-toxic
this doctor is brought to you by prize d,,,,,,neutral,non-toxic
2255 the notion that vaccines cause a force field and prevent disease is a fundamental flaw in their education,pro-vaccine,,,,,neutral,non-toxic
this is unwatchable the combined iq of the all anitvaxers has to be less than dr makes iq,skeptic,,,,,negative,mildly-toxic
poor tom doesnt know that his three daughters ought to get fascinated not only for their safety but for his as well,,,,,,negative,non-toxic
americans ,,,,,,neutral,non-toxic
not even gonna watch it just wanted to confirm the comments would be nothing but slug people appealing to the dr label,,,,,,positive,non-toxic
fact checks could not keep up with the one woman sewing out misinformation lol,,,yes,,,positive,mildly-toxic
i cant stand these videos the specialist barely has the time to respond,,,,,,positive,non-toxic
even without the title or having no knowledge of dr mike i can tell really well that he belongs to healthcare   greeting people first  showing them with compliments and congratulations them all these are indeed  medical practices  these professionals are trained to listen amd be patient,,positive,,,,positive,non-toxic
do a debate with candle owens thats what i want to see,,,yes,,,neutral,mildly-toxic
this format is about as productive as speed dating,,,yes,,,neutral,mildly-toxic
hi guys,,,,,,neutral,non-toxic
okay fine ill be the one to say it what do you think dr michael varshavskis religious beliefs are and how would that be relevant here  do you think he gets an extra bonus for coming on this podcast to defend the lobby as well or do you think it only counts per person that gets it,,,,,,positive,non-toxic
he doesnt have 14 millions subscribers because he is against big pharma,,,,,,neutral,non-toxic
what would have prevented this all was the lockdown    if we were all told to wear a mask voluntarily without locking down the world we would not have been skeptical  to shut down the world was an experiment just like the genocide in palestine is an experiment  the 1 on top need to sit on the chair the doctor is sitting on  we have questions for them,,,,,,negative,non-toxic
i love the transparency the new generation promotes   the new generation are a  special generation,,,,,,positive,non-toxic
i wish i could be on this panel these arguments are sad and poorly done on both sides,,,,,yes,strongly_negative,mildly-toxic
the lieutenant is very intelligent,,,,,,positive,non-toxic
trust the independent reviewers but he doesnt know who the most published cardiologist in the history of the world is  here is a list of real doctors some which has 40  years of experience not some random  be youtube wannabe   dr robert malone  physician and biochemist  dr eric payne  pediatric neurologist  mater in public health   kevin mckernan  genealogistpharmacology  david j spieler  molecular biology and epidemiology   dr maria gutshci  pharmacist regulatory specialist   dr laura branded  molecular biologist senior research scientist   dr masanori fukushima  most senior ecologist   dr steven quay  physician   dr jessica rose  viral immunologist  dr james thorn  dr jordan young  founder and president of the microvascular research foundation  dr sudan humphries  american board of internal medicine in both internal medicine and neurology  dr jack launcher prof theresa pretorius and professor douglas well,,,,,,positive,non-toxic
looks like you are a triggered snowflake   china still,,,,,,neutral,non-toxic
your even worse than the antivaxxers who read and watch medical studies because your refusing the data and clinging onto your idea that vaccines are bad maybe the people who side with so called dr label are actually intelligent and logically thinking people who have read and watched medical studies,skeptic,,,,,negative,mildly-toxic
go ahead state your case what makes you or any of these anti van people more reliable than the dr label,,,,,,positive,non-toxic
you got triggered by the title of a video  snowflake,,,,,,neutral,non-toxic
i would argue even less so speed dating from what i know has actually led to relationships a handful of times,,,,,,negative,non-toxic
 what does his religious beliefs have anything to do with vaccines,skeptic,,,,,neutral,mildly-toxic
yeah i cant watch this all i hear is emotional manipulation from everyone the doctor included,,,,,,neutral,non-toxic
 sure big brain   you are definitely smarter than everyone,,,,,,positive,non-toxic
2900 bro ur not ben shaping stu,,,,,,neutral,non-toxic
the first one is an actress,,,,,,positive,non-toxic
whats the point of voting them out,,,,,,neutral,non-toxic
i dont care for the voting out by majority no one can get their questions properly answered nor dr mike can get his answer across,,neutral,,,,neutral,non-toxic
girl talking about hivaids shouldnt be related sorry that comment was crazy,,,,,yes,strongly_negative,mildly-toxic
nursing your kid until 7 ,,,,,,neutral,non-toxic
stay away from any doctors who tell you to take the vaccine,skeptic,,,,,neutral,mildly-toxic
5245 with is she on about,,,,,,neutral,non-toxic
the votes out should be limited a number of times per person or per claim also each person should have a minimum of 5 mins to lay the grounds for the convoy and case their points in order to have a proper debate so that they dont get judged and voted for just one wrong thing they said thats not how debates work,,,yes,,,negative,mildly-toxic
at the end of the day it is your life and your decision you dont want the vaccine dont get it but dont force your beliefs on others and it should be the same with people who gets all their shots people shouldnt be villainized because they dont get fascinated,skeptic,,,,,neutral,mildly-toxic
doctor mike vs 20 conspiracy theorists,,neutral,,yes,,neutral,highly-toxic
2139 interesting that as soon as the lunatic stop speaking and he begins his response people start voting to stop him speaking  idiots all the way down,,,,,,negative,non-toxic
ive never felt so sorry for so many people in such a short time,,,,,yes,neutral,mildly-toxic
he so fine,,,,,,positive,non-toxic
2925 blue thought he cooked so hard ,,,,,,negative,non-toxic
so dont get a vaccine take your family and move onto a  farm and see how healthy become,skeptic,,,,,positive,mildly-toxic
dr mike vs activists and lunatic,,neutral,,,,neutral,non-toxic
1341 ok but listen the vaccine was to protect the older ppl from the children they would come into contact with i really hope doc hits him with that fact,skeptic,,,,,positive,mildly-toxic
the guy with cool jacket did very well,,,,,,positive,non-toxic
dr mike is too nice get dr house on these weird,,neutral,,,,positive,non-toxic
i support people doing what they want with their bodies but i dont understand why the people referring to one of the women in the video who get book lip filters and plastic surgery are so afraid of western medicine youre injecting yourself with actual toxins that have more proof of death caused then vaccines i dont understand this logic,anti-vaccine,,,,,negative,highly-toxic
5438 the energy from this lady is so off plus more to the point she talks a helluva gotta white,,,,,,positive,non-toxic
