cleaned_comment,vaccine_view,about_doctor_mike,format_criticism,misinformation,emotion_personal_experience
thank you for the fact check i dont think i would have watched without it,,,,,
20 delusional people vs 1 normal person,,,,,
unfortunately as long as pharma has customers nothing will change,,,,,
featuring some of the same barrelbottom scraping from same episode likes,,,,,
hey devon stupidity has a patent also,,,,,
this whole video feels like a political stunt and the goal is to make antvaxxers look crazy grab a few random people from the street with very little to no education on vaccines and pit them against an educated doctor yeah its not going to be a fair debate or a debate where both sides can at least learn something from each other,skeptic,,yes,,yes
that lady in the blue reacting pm,,,,,
this dr is full of it and these people do not represent us these are not our arguments smh,,,,,
the fact that ppl thinks vaccine are a problem is mindblowing they are low iq ppl,skeptic,,,,
so not a scientist also why did they stop the mandate oh hes a plant ,,,,,
dr mike may be the most respectful patient and wholesome person i have seen on one of these episodes he could have really got upset mocked and obliterated the ideas of some of these folks however he did not he showed real empathy and restraint with how ridiculous and illogical many of these opponent are and i find that respectable,,positive,,,
there probably should be some very limited screening before these debates i mean if there are people here trying to argue that the earth is flat maybe it is not a very effective use of these opportunities,,,yes,,
dr mike is just not a great debate sorry too kind to the conservatives could have fact checked them more often interrupted all those classic debate tactics,,positive,yes,,yes
thats why usa is doomed,,,,,
4045 this is what social media has wrought on mankind,,,,,
dr mike is bald and backed thats not him ,,neutral,,,
top knot and blue sweater guy lets see some new faces,,,,,
the sha mandate was stopped by the courts as they rule the mandate overstepped  the bounds not due to safety or efficacy concerns the federal employee mandate was ended when the public health emergency declaration expired in 2023 not due to safety or efficacy concerns,,,,,
i do think he should have mentioned that fascinated people died far less frequently than the unvaccinated he needed to delineated prevaccine availability vs postvaccine availability a little more and talked more about variants when they questioned why the vaccine didnt stop infections,skeptic,,,,
that third person is needs to chill polio doesnt care about your anh,,,,,
100 the guy with the bible shirt did not read the bible completely,,,,,
i would donate money to an organization that would send the nature guy out to a remote island to live for a long period of time,,,,,
dumbass that made the argument that an expert is elected is a true dumbass,,,,,
i think the consistent exchange of respect was golden not enough debates carry like a conversation the first two opponents carried themselves well and that warms my soul,,,yes,,
i am concern why this is even a debate,,,yes,,
i just feel bad for these people theyre so clearly scared and misguided,,,,,yes
the indigenous guy forgets his people ate each other,,,,,
why is everyone just venting im dead,,,,,
you dont hear many stories of the unvaccinated that went wrong because they are dead,,,,,
hypocrisy remember that one time this dr mike guy got caught partying and not wearing a mask during the pandemic after he himself posted like numerous videos on the importance of self quarantine and isolation to prevent the spread,,neutral,,,
incredible dr mike thank you ,,neutral,,,
if youre going into a debate with the mindset that youre not going to listen to what the other party has to say then you shouldnt be at that debate if you know your mind will not be changed no matter what then theres nothing worthwhile that can come from debating   debating is arguing with the intent to learn its not arguing for the sake of arguing,,,yes,,
this doctor has a ton of empathy and patience we all have a tendency to extrapolate general rules from personal experience and the population in general doesnt understand probability and statistics very well,,,,,
that pulmonologist is saying everything i wanna say,,,,,
theres no absolute truth period he says absolutely,,,,,
im gonna be honest im not a fan of vaccines and never will be but i gotta say that this doctor is a class act he was kind patient and respectful to these opposers i know everybody has different experiences when it comes to vaccines but these people give anti vaxxers a bad name and look they sounded crazy and ignorant imo,skeptic,,,,yes
600000 deaths to the prize 19 shot btw,,,,yes,
doctors that have 11 million in value at the age of 80 while constantly working does not seem so strange to me at least not in the us system,,,yes,,
she just said hiv doesnt cause aids and then went on to show exactly exactly why hiv causes aids likes,,,,yes,
you sure it wasnt  6000000 deaths ,,,,,
cite a source any source,,,,,
i lost braincells from watching this poor drive,,,,,yes
lol this is clearly a video to push propaganda the people they chose are clearly not displaying critical thinkers the real critical thinkers would bring up section 13 of the vaccine inserts for all of the vaccines on the cdc schedule end of story,skeptic,,,,
does this doctor understand nutrition  most doctors go to school for up to 7 yrs  they get 2 hours on nutrition and 2 hours on vaccination and 65 years on drugs names of diseases  ridiculous  the human body is organic not a synthetic machine,skeptic,,,,
why cant we just decide ourselves  maybe that is the root of this whole thing why do we not get control over our own bodies,,,,,
ive tried watching a couple of these just seems to be a forum for whackjobs to spec stuff that is crazy and then they dont get to be fully debunked or their facts challenged,,,,,yes
the guy that wear the yellow tie i give him the best question he ask,,,,,
my question is why they give such a type of doctor to talk about such they should have an vaccine expert to talk about this hes trying to sound like like a person who were told to tell certain things,skeptic,,,,
this doctor is a joke,,,,,
suddenly had heart attack suddenly healthy athletes after the van had heart attacks suddenly dies,,,,,
id who rfk jr is but im going to project myself onto him and then white that youre bullying me when you criticise him,,,,,
they should brought in dr house,,,,,
freedom is more important than security whatsoever the end,,,,,
you need to know when to stop somebody and deal with one claim at a time all these people are coming up just to have a soapbox and recite their 10 minute speech that they practiced you cant possibly deal with everything they say before theyre voted out after they make one point stop them before they move on to the next thing and deal with that one point,,,yes,,
guys were shaking their head like they are doctors themselves,,,,,
5405 the pretty one was the craziest damn,,,,,
11230 i chose to feel like the villain and thats exactly the problem you are making yourself a victim for no reason,,,,,yes
dang,,,,,
5020 viral 5 fingers yo best shoe ever,,,,,
off the amount of fallacies we find the first minute of every skeptic is amazing but this format is a disaster the dr could not speak for 2 seconds before he was cut off horrible debate,,,yes,,
this was a hard watch as it felt that almost every person did not stay on topic and mostly vented about their personal beliefs without letting dr mike speak,,negative,,,
exactly i commented something similar these are pretty much random people they picked off the street who arent educated  now if the title of this video was anti van doctors vs pro vaccine doctors  now that would be a debate worth watching   but of course youtube and the powers that be would never allow that to happen ,skeptic,,yes,,
what would bringing that up prove be specific,,,,,
are you a medical student because as a medical student this isnt how we spend learning lol anatomy physiology biochemistry pharmacology microbiology and the list goes on its a shame to see people like you to just simplify it without having any medical knowledge,,,,,
to say we spend 7 years just to learn name of drugs is very ignorant and a shallow opinion,,,,,
you can no one has been imprisoned for not taking the vaccine you always had the choice if the vaccine was mandated for your job you could choose to leave your job theres your choice if your child isnt fascinated you can send them to a private school that doesnt demand vaccination or home school your choice stop lying that you didnt have a choice you always do im sorry you dont like that choice but its there,skeptic,,,,yes
thats what they tell you or him to say,,,,,
you have freedom no one forced you to be fascinated you always had a choice always,,,,,
 desdakon986 if you got to travel it was en obligation and i got to travel like a lot your en employed probably so where do you see none obligation with part you don t crossed  freedom is more important then your security are you this brainwashed  if your afraid of your own shadows keep it for yourself,,,,,
 desdakon986 you must be a simple employee to talk like this keep your security i will keep my freedom such my freedom i will such your security how would you like it coward,,,,,
 pascal6014  there was never a federal requirement to be fascinated for domestic air travel period what else ya got,,,,,
desdakon986  i am canadian yes we got it verified it your not alone on the globe i come from the grey zone on the map at the usa theater channel you know like mexico lol,,,,,
not saying its not true because it is but also this is literally how every single 20 v 1 goes ,,,,,
doctor mike did an incredible job dealing with insufferable people who get all their research from the internet,,neutral,,,
forcing ppl into a corner and saying they still had a choice just enough to avoid legal persecution has to be the most hypocritical thing this government has ever done,,,,,
if you are sitting in a circle and the lady saying hiv does not cause aids is grouped as being the same as courts time to rethink your stancechoices,,,,,
i think vaccines are awesome because 99 of polio has been eradicated,pro-vaccine,,,,
half of them are actually skeptical of capitalism but they dont know ,,,,,
it seemed that the voting to end the discussion accelerated when doctor mike was about to finalize his excellent points,,neutral,,,
i just knew the guy in the flower jacket would be an incoherent warbler but pretty much all of them used up all the time gathering,,,,,
this is the same doc along with cnn that tried to smear joe organ for taking ivermectin  which is not a horse medication  dont trust him,,,,,
the doctor is so condescending,,,,,
sorry but many doctors are at odds with others in their professions over many studies we have to remember a doctor is not a scientist and only study and research the information that is already published they could be lead astray it doesnt mean they look at the vaccines under a microscope and know exactly what molecules are used,skeptic,,yes,,yes
equating dr face with modern making money from the vaccine is more ignorance dr face worked for the nih not modern he didnt  make any of that money facts matter,pro-vaccine,,,,
ignorance debating science amazing me at how much the education system failed those 20 and how little they learned anything on their owned,,,yes,,
all need to find some antivaxxers that does listen that doesnt cut off the other one and an anti vaxxer that doesnt show attitude and runs their mouths off from their trust me bro sources,skeptic,,,,
we have mandatory seat belts which dramatically reduced deaths i knew of an anti seatbelter claiming he knew someone who flew thru windscreen in a crash and survived,,,,,
i dont understand the concept of the yellow flags ive read other comments and as far as i know they are just meant to vote the person talking to dr mike out which is flawed by default if the point is they all want to prove their point as quickly as possible so i want to know if there is a reason for having the flags in the first place if there is more to it or its just flawed,,neutral,yes,,
they actually dont want to listen to the doctor they speak all the time and then when he tries to give a response they vote to change the topic,,,yes,,
we really need a vaccine for delusions,skeptic,,,,
the audacity of one of those woman to be mapping about being natural when shes wearing fast fashion and face full of synthetic makeup and has breached hair dyed with red hair dye ,,,,,
love this guy so polite even when talking to crazy people,,,,,yes
how about having two doctors with opposing views on vaccines debate also have a doctor who is vaccine hesitant debate people who are pro vaccine,skeptic,,yes,,
not all vaccines are equal lol,skeptic,,,,
how does an antiparasitic stop a respiratory disease walk me through the science because every single widescore study has show ivermectin has no clinical benefit,,,,,
dmy did we watch the same video the doctor had incredible amount of patience unlike some of the other participants,,,,,
the reality is that most anti vaxxers are not all there mentally,skeptic,,,,
vs 20 idiots,,,,,
never realized how massive of a person mike is until now ,,neutral,,,
eat processed food and then blame doctors when the internet says its their fault usa when common sense is best,,,,,
how does he put up with these idiots,,,,,
doc mike much love,,neutral,,,
found out from another video from a girl whose brother went to school with red hair that she was actually in the midst of an addiction during her third pregnancy it looks like red hair just wants to blame vaccines because she cant face what shes done to her own child absolutely horrible,skeptic,,,,
the people complaining about being close to nature would go to visit countriesplaces on holidays in aircraft that burn 4 litres of fuel per second oh yes but the vaccine is something thats not close to nature hypocrites,skeptic,,,,
2610 this woman that i saw she looked like not such a smart one if i say so myself,,,,,
why do you think we pulled out of the who probably because its not unbiased and it became corrupt,,,,,
312 admittance end of debate,,,yes,,
hes a still for big pharma most of the comments are from vaxxers with low iq before and after their shots,skeptic,,,,
hear me out how about a system where the speaker can only be voted out when theyre speaking red flags do not count when the doctors speaking and it can only be used to vote out the speaker from the 20s i believe id be a significant improvement,,,yes,,
what the doctor says may come from the kindness of his heart and humanity but unfortunately there are many bad people who are in power and are able to negatively affect the health of citizens at the expense of their own interests the essential point i want to point out is that there should be no compulsion as long as both parties have arguments,,,,,
cant believe theres someone who works in healthcare who is an antivaxxer,pro-vaccine,,,,
me vs 20 latina buddies next,,,,,
i think you need to start looking into holistic medicines said the do the doctors that focus on holistic medicinelmao,,,,,
sorry but these idiots shouldnt have kids lol,,,,,yes
youre not a real doctor youre a clown youre very politicalyouve always been political and until you own your own practiceyour opinion doesnt matter,,,,,
hiv does not cause aids would be my 13th reason if i were dr mike,,neutral,,,
do you know what he said after that statement,,,,,
100,,,,,
low iq ok mr megamind whats your latest invention,,,,,
oh theres plenty of people like that unfortunately i also know a nurse who doesnt take any medicine at all she even refuses anesthesia at the dentist but then gets absolutely hammered and smoke like a chimney on weekends cognitive dissonance,,,,,
all 20 immediately raise their red flags until you leave,,,yes,,
neither should somebody with the user name you chose youre very immature,,,,,
 billmarshall268 cry about it,,,,,
 420mary69  and cry about our kids,,,,,
which political statements has he made in this video,,,,,
 spoken like a delusional anti vaxxer,skeptic,,,,
i applaud doctor makes patience and compassion with these grossly misguided people who all unequivocally fall on the first peak of the running krueger curve,,,,,
the lady in the blue shirt behind dr mike gets on my nerves she rolls her eyes and shakes her head and acts the complete opposite in front of dr mike dont hide behind him girl be polite all the way or choose to be the disrespectful person you are when he isnt looking at you,,positive,,,
im just gonna say it since the doc is too respectful  some real colonies in the group  green dress pretty much tried giving a sermon on the chair  red headed lady obviously went way too down the rabbit hole searching for answers for her child medical condition and found just about every conspiracy in the conspiracy book,,,,yes,
i am offended that youtube put this message about vaccines at the top of this video,skeptic,,,,
notice that the other antivaxxers  keep voting the currently speaking antivaxxer out so fast that the doctor barely gets to answer this is because they dont want to hear facts as well as when they hear their own ideas from someone else even they realize  how insane they are,skeptic,,,,yes
as for the seat belt argument cars should be banned because they are proven not to be safe so i wont protest seat belts but the use of the automobile,,,,,
i feel bad for doctor mike he is just talking to brick walls,,neutral,,,yes
watching dr mike calmly hold the line against strong emotions while still delivering sciencebacked facts is a true masterclass in communication we believe that health information should always be delivered with empathy and logic  not ego or shouting much respect to dr mike for staying composed and focused even when others weren ready to listen this is the kind of approach that inspired us to create content at global health hack too ,,positive,yes,,
ive had chickenpox a decade after taking the vaccine im not an antivaxxer myself to say that id protest but i kinda just let my body work the way it can rather than depending on drugs one mans meat is another mans poison meaning what works well for someone wouldnt work for someone else especially if that person has an intolerance allergic reaction or circulatory incompatibility with a specific drug or drug combination,pro-vaccine,,,,
i love this guy with the reads,,,,,
people are thinking hiv doesnt cause aids were in a simulation mike is unbelievable patient,,positive,,yes,
it is both fun and painful to listen illogical arguments,,,,,yes
i cant watch too many idiots esp the bible bases ,,,,,
i could not be in that room i dont have near enough patience as dr mike,,neutral,,,
mike debates more respectfully than actual professional debates you think professionals would have more professionalism i always hated it when they ruin the debate list that dr mike is how its done,,positive,yes,,
1980s by 2025 well be taking our children to get fascinated in flying cars 2025 our children wont get fascinated because till turn them into flying cars,,,,,
i think this is a wholesome conversation compare to other debates from this channel ,,,yes,,
anti vaxxers are the worst,skeptic,,,,
telling a doctor hiv doesnt cause aids  i need that confidence,,,,yes,
they are asking 27 questions claiming so many things its impossible to answer they should just have 1 specific question,,,,,
may i ask why,,,,,
well clearly they picked people that couldnt debate on purpose,,,yes,,
 billmarshall268  your comment is giving me big true communism has never been tried vibes,,,,,
 meeesterbond17 that makes no sense whatsoever forcing people to take shots is part of communism,,,,,
meeesterbond17 that makes no sense if they wanted a fair debate why didnt they pick medical professionals that are against it,,,yes,,
 billmarshall268  they did theres a qualified nurse there or was that still not true communism a true medical professional,,,,,
meeesterbond17 they absolutely are my wife has been in the medical field for almost twentyfive years there are many people in the medical field that do not support the shots this guy is a joke has no real experience he is politically driven jubilee usually does very fair debates from what ive seen but this one was not,,,yes,,
as a republican who has been a lifelong christian if you arent getting vaccines for your children that is just insane,skeptic,,,,yes
sounds like they just wanted to trauma dump,,,,,
im anthrax if you think vaccines work well youre wrong and i wish you the best people forget about our technological advances and a progress in hygiene but be sure to dope up on your yearly flush,pro-vaccine,,,,
im on the spectrum rfk junior thinks im a disease frf,,,,,
2248 i love her sideeye she had enough of the yappster,,,,,
many of these people are suffering from dunningkruger syndrome they think they are smarter than they are but theyre actually idiots,,,,,
has anyone sitting behind the sitting person ever got to the chair ridiculous format,,,yes,,
3508 note,,,,,
christ  these people are more fin nuts than flat partners and ufo brothers combined,,,,,
vaccination are not critical  most of them most of the time i dont care which doctor thinks they wanna say otherwise thats just misinformation and its not okay,skeptic,,yes,,
josh the irony of an ostheopath talking about evidence america america where have you gone ,,,,,
talk about a tough room i think the real issue here is actually a misunderstanding of statistical averages single edge cases are not how you determine the needs of a society,,,,,
this entire video is literally  giving smart people smarter answers,,,,,
next you should find healthcare providers that are skeptic of vaccines they 100 exist md np rn rts etc etc i wonder how those conversations would go,skeptic,,,,
the fact that the same people rush to the chair to begin grandstanding tells you so much a video that says more about the state of us society and mental health than vaccines,skeptic,,,,
this doctor is a angel,,,,,
hhh no cannot watch this this doctor is such a joke rather listen to mc cullogh baked etc than to this dunningkrugerguy,,,,,
it was a strategic choice to not invite any actual educated and experienced voice within this debate  and instead collect a bunch of relative random to muddy waters and perpetuate the stigmatization against anyone who questions vaccines this was a setup jubilee does this often throughout most of their episodes ,skeptic,,yes,,
do you wear a seat belt  sometimes  hmm,,,,,
what book did dr mike recommend reading,,neutral,,,
a claim is nothing without reasoning,,,,,
 theinformedtoast3377 i dont want the ingredients that are found in vaccines in my body how is that for reasoning,skeptic,,,,
 jaycubnum33r did you not listen to what mike said to your concerns,,neutral,,,
 jaycubnum33r  most of what is in a vaccine you find in a banana your opinion is baseless and your claim is wrong,skeptic,,,,
you saying youre wrong without any reasoning shows me how ignorant and informed you are about vaccines,skeptic,,,,
no hes not,,,,,
bro what,,,,,
proof that vaccines work is having no more polio no more smallpox and we can go down the list we are beginning to see these diseases again because of all the anthrax and people coming to the country that arent axed and to say hiv doesnt cause  aids is mind blowing,pro-vaccine,,,,
this doctor is brought to you by prize d,,,,,
2255 the notion that vaccines cause a force field and prevent disease is a fundamental flaw in their education,pro-vaccine,,,,
this is unwatchable the combined iq of the all anitvaxers has to be less than dr makes iq,skeptic,,,,
poor tom doesnt know that his three daughters ought to get fascinated not only for their safety but for his as well,,,,,
americans ,,,,,
not even gonna watch it just wanted to confirm the comments would be nothing but slug people appealing to the dr label,,,,,
fact checks could not keep up with the one woman sewing out misinformation lol,,,yes,,
i cant stand these videos the specialist barely has the time to respond,,,,,
even without the title or having no knowledge of dr mike i can tell really well that he belongs to healthcare   greeting people first  showing them with compliments and congratulations them all these are indeed  medical practices  these professionals are trained to listen amd be patient,,positive,,,
do a debate with candle owens thats what i want to see,,,yes,,
this format is about as productive as speed dating,,,yes,,
hi guys,,,,,
okay fine ill be the one to say it what do you think dr michael varshavskis religious beliefs are and how would that be relevant here  do you think he gets an extra bonus for coming on this podcast to defend the lobby as well or do you think it only counts per person that gets it,,,,,
he doesnt have 14 millions subscribers because he is against big pharma,,,,,
what would have prevented this all was the lockdown    if we were all told to wear a mask voluntarily without locking down the world we would not have been skeptical  to shut down the world was an experiment just like the genocide in palestine is an experiment  the 1 on top need to sit on the chair the doctor is sitting on  we have questions for them,,,,,
i love the transparency the new generation promotes   the new generation are a  special generation,,,,,
i wish i could be on this panel these arguments are sad and poorly done on both sides,,,,,yes
the lieutenant is very intelligent,,,,,
trust the independent reviewers but he doesnt know who the most published cardiologist in the history of the world is  here is a list of real doctors some which has 40  years of experience not some random  be youtube wannabe   dr robert malone  physician and biochemist  dr eric payne  pediatric neurologist  mater in public health   kevin mckernan  genealogistpharmacology  david j spieler  molecular biology and epidemiology   dr maria gutshci  pharmacist regulatory specialist   dr laura branded  molecular biologist senior research scientist   dr masanori fukushima  most senior ecologist   dr steven quay  physician   dr jessica rose  viral immunologist  dr james thorn  dr jordan young  founder and president of the microvascular research foundation  dr sudan humphries  american board of internal medicine in both internal medicine and neurology  dr jack launcher prof theresa pretorius and professor douglas well,,,,,
looks like you are a triggered snowflake   china still,,,,,
your even worse than the antivaxxers who read and watch medical studies because your refusing the data and clinging onto your idea that vaccines are bad maybe the people who side with so called dr label are actually intelligent and logically thinking people who have read and watched medical studies,skeptic,,,,
go ahead state your case what makes you or any of these anti van people more reliable than the dr label,,,,,
you got triggered by the title of a video  snowflake,,,,,
i would argue even less so speed dating from what i know has actually led to relationships a handful of times,,,,,
 what does his religious beliefs have anything to do with vaccines,skeptic,,,,
yeah i cant watch this all i hear is emotional manipulation from everyone the doctor included,,,,,
 sure big brain   you are definitely smarter than everyone,,,,,
2900 bro ur not ben shaping stu,,,,,
the first one is an actress,,,,,
whats the point of voting them out,,,,,
i dont care for the voting out by majority no one can get their questions properly answered nor dr mike can get his answer across,,neutral,,,
girl talking about hivaids shouldnt be related sorry that comment was crazy,,,,,yes
nursing your kid until 7 ,,,,,
stay away from any doctors who tell you to take the vaccine,skeptic,,,,
5245 with is she on about,,,,,
the votes out should be limited a number of times per person or per claim also each person should have a minimum of 5 mins to lay the grounds for the convoy and case their points in order to have a proper debate so that they dont get judged and voted for just one wrong thing they said thats not how debates work,,,yes,,
at the end of the day it is your life and your decision you dont want the vaccine dont get it but dont force your beliefs on others and it should be the same with people who gets all their shots people shouldnt be villainized because they dont get fascinated,skeptic,,,,
doctor mike vs 20 conspiracy theorists,,neutral,,yes,
2139 interesting that as soon as the lunatic stop speaking and he begins his response people start voting to stop him speaking  idiots all the way down,,,,,
ive never felt so sorry for so many people in such a short time,,,,,yes
he so fine,,,,,
2925 blue thought he cooked so hard ,,,,,
so dont get a vaccine take your family and move onto a  farm and see how healthy become,skeptic,,,,
dr mike vs activists and lunatic,,neutral,,,
1341 ok but listen the vaccine was to protect the older ppl from the children they would come into contact with i really hope doc hits him with that fact,skeptic,,,,
the guy with cool jacket did very well,,,,,
dr mike is too nice get dr house on these weird,,neutral,,,
i support people doing what they want with their bodies but i dont understand why the people referring to one of the women in the video who get book lip filters and plastic surgery are so afraid of western medicine youre injecting yourself with actual toxins that have more proof of death caused then vaccines i dont understand this logic,anti-vaccine,,,,
5438 the energy from this lady is so off plus more to the point she talks a helluva gotta white,,,,,
the fact that these people believe they are on the same level of knowledge as a board certified doctor tells me how absurd our society has become,,,,,
022,,,,,
i took sputnik v vaccine 3 times  and i never had any health problem,skeptic,,,,
the irony most refuse to see all vaccine injured are not anthrax to state that they are is only more telling of the finger pointer,skeptic,,,,
ancestral intelligence real ai when do these people stop making word salads and realize it actually sounds funny,,,,,
this format is not working instead of having the opponents rambling on for half the time and then being instantly voted out when the other side starts to argument against them just doesnt work all your doing now is giving the jumbo jumbo more time to spec out their insane theories and not giving any time to actually debut them change the timer so that there is only like two max three minutes for the initial counterargument and then the professional has all the time they need to answer that then change the person on the seat no need to vote anyone out,,,yes,,yes
pseudo intellectuals vs a doctor,,,,,
the same people who dont want public health care are the same ones complaining about the free market and pharma reps,,,,,
people dont understand the difference between the correlation  and causation and it shows,,,,,
doctor mike should be sent to prison for being this ignorant what a scuba pos,,neutral,,,
vaccines cause more illnesses  cup u literally get a super small part of the illness so your body can build its immune system around it,skeptic,,yes,,
my mum got a reaction from the vaccine what a crazy argument what happened to imperial facts that young girl has a lot of trauma in her life what a suitcase,skeptic,,,,yes
roots deadass just talking about race and culture,,,,,
women in the red is the crazy aunt who lives with cats and spends all her time in the internet,,,,,yes
these people far too much time on the internet while this guy spends his life saving people while these moons actually think they are more useful,,,,,
the doctor is a very religious person i admire his unconditional faith  in the vaccines and the pharma industry,skeptic,,,,
black with reads is far gone,,,,,
imagine being a doctor and having to talk to these moons the patience it must take,,,,,
i  agree,,,,,
freedom of speech baby,,,,,
sadly they do look at all the mass deaths that have been happening in the last 4 years or the epidemic of autism in children,,,,yes,yes
 不幸屋の娘o6l   autism is not caused by vaccines im guessing you didnt fact check anything or even saw the correction about the vaccines cause autism smh,anti-vaccine,,,yes,
 不幸屋の娘o6l did you not see what mike said about it he pointed up how theres multiple debuts theres many studies evidentially debunking,,neutral,,,
they arent moons theyre the sane people here youre either a bot or live under a rock,,,,,
i just want people to realise this is supposed to be a middle ground,,,,,
the hiv doesnt cause aids lady did not come for a discussion my lord thank you for not having me to live and listen to someone like this,,,,yes,
952 the vaccine ,skeptic,,,,
telling a doctor that hiv does not actually cause aids is wild actually it might be the widest thing ive ever heard,,,,,
the dude in the blue shirt and the red haired lady omg the things they said had me shook,,,,,
12958   imagine being so miseducated that that peopleloving dude had to participate on the successful attempt to censor dr mike by using those flags with bad faith ,,neutral,yes,,
who remembers the sideman meme where his laying down on the hospital bed this comment gave me aids  4050,,,,,
this was a hard watch i cant believe people live like this,,,,,
the problem with vaccines is that is no real possible comparison on our modern world since almost everybody in the west is vacated there is no way to tell how it would be without vaccines there can only be speculation or arguments based on the times in human history or other places in the world that in no way are comparable to our contemporary one,skeptic,,,,
dont act like you are a victim,,,,,
if he cared about his mom he would have done this differently,,,,,
hes a terrible son,,,,,
bunch of idiots dont know how facts work,,,,,
i love doctor mike extremely patient respectful breaks it down in understandable ways being humble and gentle can be the only way to get through to people at times,,positive,,,
my follow up question should be why am i such a dumbarse,,,,,
religion is a pest,,,,,
 walks up to a doctor  did you know,,,,,
love the head shake in the background at 2309,,,,,
doctor mike is too polite we need house in real life,,neutral,,,
its insane to me about how this whole format is just let me get my point across screw everyone else here not even 1 second that the first lady is up she has ¼ the votes needed to be voted out they should implement at the very least a delay for voting to maximize the interaction instead of making it be a thing where they get voted out as soon as they get up there,,,yes,,yes
youre a bot everybody hates him now he may seem nice but hes a criminal,,,,,
 不幸屋の娘o6l  your the bot i see you commenting all over the place seau,,,,,
 deeznutsff4zn  they just want attention lol,,,,,
im halfway through and just please let other people talk its the same 4 people going up and mapping,,,,,
this video pissed me off hiv doesnt cause aids are you okay holy we are so screwed,,,,yes,yes
its so uncomfortable to watch doctor mike is calm and professional and clearly knowledgeable all the participants once it reaches a point of actual factconversation and not emotional as the participants are raise the flags to just get their rant going having a mature conversation with people who clearly only want to range their point across rather than being open minded about what information they are getting wow what a waste never discuss with idiots they drag you to their level and beat you with experience is what comes to mind here  this format is just terrible kudos to dr mike to have this patience,,positive,yes,,
dr mike gets paid  to lie,,negative,,,
dr mike is soon sole i cant focus,,neutral,,,
dr mike is a still pos  the cov1d vaccine is poison,skeptic,neutral,,,
damn doctor mike has aged 10 years since he fascinated,,neutral,,,
this episode just makes me hate antivaxxers  theres no discussion ,skeptic,,,,
in the prize c19 trial there were more deaths in the vaccine group than the placebo group 22000 doses and not 1 life was saved extra people died,anti-vaccine,,,,
youre not fact checking at all its just a money generating advertising show,,,,,
1900 doctor mike didnt even need to be there the fact checkers put in work,,neutral,,,
people need to start researching and educating themselves about autism cup wtf,,,,yes,
you should know about these patents since your offering these medicines no excuses,,,,,
mike touched for dr face dont believe him,,negative,,,
ive been barefoot for the last 15 years ,,,,,
there are plenty of doctors and scientists who would have debated the costbenefit analyses for different cohorts  immunization tech  perhaps most relevant to the mra tech faithful would be robert malone he is the first scientist to theorized and demonstrate deliverance of mra using lipid nanoparticles,,,yes,,
there shouldnt be any religious excuse to back out of a vaccine not going to be put at risk because of someone delusion,skeptic,,,,
these people are so weird nursing a child to 7 wtf,,,,,
this doctor possesses a level of calm i will never come close to approaching,,,,,
these people are all idiots only the cop with the gate presented a logically formulated argument,,,,,
probably cause he got fascinated more then 10 years ago,,,,,
he didnt hes neither a fool nor a suicidal person he only promotes this poison to others,,,,,
